,vol,title,body
2018-01-07,18589.4,,
2018-01-08,39484.17499999998,USA: 43.5 GW of utility-scale solar proposed through 2020,"While the US Federal Energy Regulatory Commission (FERC) continues to struggle with reporting accurate data on existing solar, it has recorded a large volume of proposed projects over the next three years.

For those not intimately involved with energy policy, the U.S. Federal Energy Regulatory Commission (FERC) is an obscure agency. FERC regulates interstate energy matters including electricity transmission and oil and gas pipelines, and has been more prominent in the media in recent months due to the Trump Administration's efforts to force an broad coal and nuclear bailout through the agency.

FERC also supplies data on the electricity sector, and the agency's latest Energy Infrastructure Update for November shows that developers have proposed 1,913 new solar PV projects to be put online through December 2020, for a total of 43.5 GW.

This is the third-largest capacity of any generation source, following 92.5 GW of natural gas plants which have been proposed and 72.5 GW of wind. Of course how many of these projects will actually get built is beyond the scope of the report."
2018-01-08,39484.17499999998,Shell awards PV projects to HTC in Oman,"Shell Development Oman has awarded a contract to Hussam Technology Company LLC (HTC) to develop and install two solar PV systems at schools in Oman.

In a bid to support its Solar for School's program, and encourage the development of Small and Medium enterprises, Shell is investing in firms willing to construct solar PV systems.

Its latest venture has seen HTC awarded a contract for the design and construction of two PV systems, which will be installed at two public schools - Kaab Bin Barsha School in Saham and Al Asma's bint Al Harith school in Sohar - located in Oman's Al Batinah North Governorate.

Bifacial PV panels, which are designed to allow light to enter from both sides, effectively generating more electricity, will be used for both systems. It is reportedly the first time such panels will be installed in Oman.

Shell, through its Solar for Schools program, has already ..."
2018-01-09,21588.15,"CES 2018: Bosch sees future in smart-city business / Smart solutions for better air quality, and for more security and convenience","Las Vegas, NV (ots) - 



 - Querverweis: Bildmaterial ist abrufbar unter  -



- Stefan Hartung: ""For a long time, the smart city was a vision. We're helping make it reality."" - Good-bye to air pollution: Climo measures and analyzes air quality in real time (new product) - Good-bye to flooding: digital flood monitoring system keeps track of river water levels and gives flood warnings well in advance - Good-bye to the search for parking: Bosch to offer community-based parking system in as many as 20 U.S. cities from 2018



 Urban populations are growing: according to the United Nations, roughly two-thirds of the global population will live in conurbations by 2050. In 2014, this figure was just one-half. Urbanization is increasing, and with it the challenges cities have to solve. Even today, therefore, there is a considerable need for smart solutions. Speaking at CES in Las Vegas, the Bosch management board member Stefan Hartung said: ""We need a new conception of the city. One key factor here is technologies that make cities smart and worth living in. In the long run, cities without intelligence will not survive, but succumb to gridlock.""



 Bosch is working to equip cities and neighborhoods for the future, offering smart mobility, better air quality, more convenience, greater security, and many new services. In short, the aim is significantly better quality of life in cities and neighborhoods. ""When it comes to smart cities, few other companies can match Bosch's comprehensive portfolio, cross-domain knowledge, and outstanding expertise in sensors, software, and services - and all this from a single source,"" Hartung said. From January 9 to 12, the supplier of technology and services will be presenting many new solutions that make cities smart at CES 2018, the world's largest electronics show. These range from a new compact unit that measures and analyzes air quality in real time, to a system that digitally monitors river water levels and gives early warning of flood risks, to a completely automatic parking space service that makes drivers' lives easier.



 For more business: the smart-city market is booming 



 Some of the world's major metropolises are already synonymous with the term ""smart,"" among them Barcelona, Seoul, and London. Across the globe, cities large and small are investing in smart-city technologies. According to a study on behalf of Bosch, the smart-city market will grow 19 percent each year between now and 2020, reaching a volume of 800 billion dollars (680 billion euros). Bosch believes this is a great business opportunity: ""For a long time, the smart city was a vision. We're helping make it reality. Bosch is in an excellent position to make the connected city a technological and commercial success,"" Hartung said. The company is currently involved in 14 extensive smart-city projects in places such as San Francisco, Singapore, Tianjin, Berlin, and Stuttgart. Others are planned to follow. Within the past two years, the company has doubled its sales from cross-domain projects to nearly one billion euros, and this figure is set to rise further.



 In the Bay Area city of San Leandro, for example, the company has equipped roughly 5,000 streetlights with LEDs and supplied a system for remote management of the city's street lighting. In this way, the lights are only switched on when they are actually needed. With this solution, San Leandro will be able to save roughly 8 million dollars over the next 15 years. At the Bosch CES press conference, Mike Mansuetti, the president of Bosch North America, said: ""Whether cities are big or small, our smart solutions will help them save energy, and money too."" In the case of San Leandro and its 100,000 inhabitants, sensors can be used to measure and analyze air quality, and cameras can automatically re-route traffic in the event of congestion.



 For more connectivity: IoT and artificial intelligence 



 The internet of things (IoT) has laid one of the main foundations for the connected city. The IoT is finding its way into all walks of life: a Gartner study predicts that some 230 million homes worldwide - roughly 15 percent of all homes - will be intelligently connected by 2020. Here as well, the potential is huge, with market volume estimated to reach 250 billion dollars annually by 2020. By the same year, more than 20 billion devices worldwide will be connected with each other - smoke detectors, burglar alarms, electricity meters, home appliances, and many more. ""Bosch recognized this potential early on,"" Hartung said. ""Even now, more than half our electronic product classes are web-enabled - and the aim is for this to be 100 percent by 2020. Not only that: for each of our products, we want to offer accompanying services.""



 Another driver of the rapid development of smart cities is artificial intelligence (AI). Bosch intends to further expand its research in this field. Last year, the company opened a research center for artificial intelligence, which now employs some 100 associates in Renningen, Germany, Palo Alto, CA, and Bengaluru, India. By 2021, Bosch will invest some 300 million euros in expanding the center. The company anticipates that, ten years from now, scarcely any product will be conceivable without AI.



 For better air quality: Climo creates basis for targeted action 



 Air quality is one of the greatest challenges cities face. Thanks to smart technologies, cities can take faster and more targeted action to improve it. However, this depends on accurate measurements. At CES 2018, Bosch is presenting a new solution that it developed together with Intel - the Climo microclimate monitoring system. Climo measures and analyzes 12 parameters that are important for air quality, including carbon dioxide, nitrogen oxide, temperature, and relative humidity. The appliance is one-hundredth the size of conventional systems - and one-tenth the cost. Climo won a CES Honoree Innovation Award in the ""smart cities"" category.



 For early warning: digital monitoring of rivers 



 In many regions, climate change is resulting in unpredictable weather. Researchers expect that heavier rainfall will result in more frequent flash flooding. Up to now, mechanical devices have been used to measure river water levels. Hours may pass before these measurements become available for others. However, the flood monitoring system changes all this. In real time, it monitors the water level in rivers and other bodies of water close to cities, and warns of an impending flood. In a pilot project, Bosch is testing the new system on the Neckar river near Ludwigsburg, Germany. Ultrasonic sensor probes and cameras track changes in water level, speed, and throughput. The data is sent to the Bosch IoT Cloud for processing. Should critical thresholds be exceeded, the affected municipalities, residents, and business owners are alerted well in advance by text message. This gives them enough time to take precautions against flooding and flood-related damage. Among those interested in the solution are a number of Indian and South American municipalities that frequently have to combat flooding.



 For more time: connected parking 



 Urban traffic will increase by roughly one-third by 2050. Bosch is working to make tomorrow's mobility free of accidents, stress, and emissions. At CES 2018, the company is presenting many solutions that lead toward this goal. Urban traffic plays a role in roughly half the smart-city projects Bosch is involved in. Parking is a particular focal point. U.S. drivers now spend more than 40 hours a year stuck in congestion, wasting some 160 billion dollars in the process. Of this time, roughly one-third is wasted on the search for parking alone. This is where Bosch can help: with its community-based parking, the company simplifies the search for a suitable space. As they drive by, cars automatically recognize and measure the size of the gaps between parked cars, transmitting the data in real time to a digital map. In this way, drivers can have themselves guided directly to free parking spaces. Bosch is already testing this service in German cities, including Stuttgart. This year, as many as 20 U.S. cities will follow, including Los Angeles, Miami, and Boston.



 In early 2018, moreover, Bosch and Daimler will be launching a new automated valet parking service. Cars in the Mercedes-Benz Museum parking garage in Stuttgart will look for a parking space and park themselves, without a driver. This cuts out stress, and makes more efficient use of parking lots - the same amount of space can accommodate up to 20 percent more vehicles. One factor making fully automated parking a reality is smart parking-garage infrastructure, which connects with the vehicle's on-board software. Bosch recently won a Frost & Sullivan's 2017 Technology Innovation Award for this driverless parking solution.



 For energy and cost savings: Bosch DC microgrids 



 According to the International Panel on Climate Change (IPCC), cities account for roughly 75 percent of total global energy consumption. Forty percent of this is attributable to buildings alone. And the BP Energy Outlook 2035 estimates that global energy consumption will rise 30 percent by 2035. Bosch has many smart energy management solutions that can reduce power consumption. One of these is the Bosch DC (direct current) microgrid, which can be used to supply power to large buildings or building complexes. Since microgrids are generally fed by renewable sources, they are especially eco-friendly. DC microgrids consume up to 10 percent less energy than conventional power plants. Another major advantage is their self-sufficiency, which makes them a reliable source of power when a weather- or security-related outage affects the broader grid.



 Bosch at CES 2018: 



- PRESS CONFERENCE: In Ballrooms B, C, and D, Mandalay Bay Hotel, Las Vegas South Convention Center, Level 2, from 8:00 to 8:45 a.m. local time on Monday, Jan 8. - BOOTH: Tuesday to Friday, Jan 9-12, in the Central Hall, booth #14028 - FOLLOW the Bosch CES 2018 highlights on Twitter: BoschCES - PANELS WITH BOSCH EXPERTS: - Tuesday, January 9, 1:30 - 3:15 p.m. (local time) ""Connect2Car: Next-Gen Automobility"" session with Kay Stepper, Vice President of Bosch in North America, head of driver assistance and automated driving, Las Vegas, Convention Center, North Hall, N256 - Wednesday, Jan 10, 1:45-2:30 p.m. (local time) ""Connected Vehicles in Connected Ecosystems"" session with Mike Mansuetti, President Bosch North America, Smart Cities Conference, Westgate. - Thursday, Jan 11, 11:30 a.m to 12:30 p.m. (local time) ""The Future of Robots at Work and HomeThe Future of Robots at Work and Home"" session with Phil Roan, Senior Engineer Robotics, BSH Hausgeräte GmbH, Las Vegas Convention Center, North Hall, N258



 The Bosch Group is a leading global supplier of technology and services. It employs roughly 390,000 associates worldwide (as of December 31, 2016). The company generated sales of 73.1 billion euros in 2016. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. As a leading IoT company, Bosch offers innovative solutions for smart homes, smart cities, connected mobility, and connected manufacturing. It uses its expertise in sensor technology, software, and services, as well as its own IoT cloud, to offer its customers connected, cross-domain solutions from a single source. The Bosch Group's strategic objective is to deliver innovations for a connected life. Bosch improves quality of life worldwide with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is ""Invented for life."" The Bosch Group comprises Robert Bosch GmbH and its roughly 440 subsidiaries and regional companies in some 60 countries. Including sales and service partners, Bosch's global manufacturing and sales network covers nearly every country in the world. The basis for the company's future growth is its innovative strength. At 120 locations across the globe, Bosch employs some 59,000 associates in research and development.



 The company was set up in Stuttgart in 1886 by Robert Bosch (1861-1942) as ""Workshop for Precision Mechanics and Electrical Engineering."" The special ownership structure of Robert Bosch GmbH guarantees the entrepreneurial freedom of the Bosch Group, making it possible for the company to plan over the long term and to undertake significant upfront investments in the safeguarding of its future. Ninety-two percent of the share capital of Robert Bosch GmbH is held by Robert Bosch Stiftung GmbH, a charitable foundation. The majority of voting rights are held by Robert Bosch Industrietreuhand KG, an industrial trust. The entrepreneurial ownership functions are carried out by the trust. The remaining shares are held by the Bosch family and by Robert Bosch GmbH.



 Additional information is available online at www.bosch.com, www.iot.bosch.com, www.bosch-press.com,  Robert Bosch GmbH digital press kits:  press kits via RSS:  persons for press inquiries: Melita Delic +49 160 7020086, Agnes Grill +49 162 4247841, Trix Böhne +49 173 5239774, Annett Fischer +49 152 08651292 Briela Jahn +49 172 7098624"
2018-01-09,21588.15,"Iraqi refugee camp to be powered by Autarsys energy storage, PV system","Berlin-based Autarsys GmbH has announced plans to install an energy storage system together a 300 kWp PV plant at a refugee camp in northern Iraq.

The German company will install the solar plus storage system in the Mam Rashan refugee camp, located in the Dohuk district of northern Iraq, near the Syrian and Turkish borders. Currently 10,000 people are located there.

The system is expected to be operational by this spring, with additional funding potentially opening up more opportunities for the expansion of the system in the future.

What the developers have termed iEMS (intelligent energy management software), will allow camp admins to schedule and prioritize the delivery of power based on the varying needs of residents. This will help ensure greater stability to a camp, where electricity ..."
2018-01-10,25536.425,"China the global leader in 2017 clean energy investment, at over $44 bn","China was the global leader in 2017 clean energy investment, says a new report. On the solar front, the country accounts for 60% of all cell production; and will continue to lead installation developments for at least the next five years. New 2020 targets are expected to be set. In the battery arena, Chinese companies are also set to dominate.

China's global dominance in the clean energy industry has been highlighted in a new report, China 2017 Review: World's Second-Biggest Economy Continues to Drive Global Trends in Energy Investment, published by the Institute for Energy Economics and Financial Analysis (IEEFA).

IEEFA finds that China ruled supreme in both the building and financing of clean energy technology in 2017.

A key development in the country's leading role was U.S. President Trump's decision to back out of the Paris Climate Agreement, a move, the report's authors say, that led to China's ""quick reaffirmation"" of its emissions-reduction pledge and in installing renewables capacity in new markets.

""The clean energy market is growing at a rapid pace and China is setting itself up as a global technology leader while the U.S. government looks the other way,"" says Tim Buckley, co-author of the report and IEEFA's director of energy finance studies.

He adds, ""Although China isn't necessarily intending to fill the climate leadership void left by the U.S. withdrawal from Paris, it will certainly be very comfortable providing technology leadership and financial capacity so as to dominate fast-growing sectors such as solar energy, electric vehicles and batteries.""

In addition to a reorganization of its large state-owned power generators in 2017, in a bid to move Chinese power companies away from reliance on coal to renewables, a significant driver ..."
2018-01-11,21716.3,SunPower commissions 100 MW solar park in Chile,"The facility, which is located in the region of Coquimbo, will sell power to the Metro of the country's capital city, Santiago under a long-term PPA.

The President of the Republic of Chile, Michelle Bachelet, has officially inaugurated the El Pelícano solar power plant, which will supply electricity to Metro de Santiago.

The solar park, which is owned by the U.S. PV module manufacturer, SunPower, a subsidiary of French oil company Total, has a capacity of 100 MW and is located on an area of 186 hectares in La Higuera, the ..."
2018-01-11,21716.3,Nicaragua's new net metering regulations come into force,"The new rules, now published in the country's official journal, will enable owners of PV and renewable energy power generators to sell excess power to the local distributors.

The Ministry of Energy and Mines (MEM) of Nicaragua announced the publication of the new regulation for self-consumption and net metering (Normativa de Generación Distribuida Renovable para Autoconsumo) in the country's official gazette.

With the publication of the new rules, it will now become possible for the owners of electricity generators from solar and renewable sources with a capacity of up to 5 MW to sell the surplus of energy that is not ..."
2018-01-12,34623.350000000006,Swizterland: new PV additions for 2017 range between 250 MW and 270 MW,"According to provisional figures released by Swissolar, solar demand remained stable in the country last year. Looking ahead, the association expects another 300 MW to be deployed this year.

The Swiss photovoltaic market registered stable demand in 2017 despite an uncertain environment. According to provisional estimates released by local solar association Swissolar, between 250 MW and 270 MW of new PV installations were connected to the country's grid last year.

""Thus, the share of solar power in Swiss electricity consumption has increased by around 1.5% to about 3%, and is now by far the second-most ..."
2018-01-12,34623.350000000006,"Portugal: unsubsidized approved large-scale PV projects top 756 MW, first solar private PPA signed","These projects would be developed without direct public incentives and would sell power to the spot market, an option still considered unviable by the local renewable energy sector, or through private PPAs. Meanwhile, local power provider Axpo Iberia has agreed to buy electricity from a 28 MW solar facility planned in southern Portugal under a 10-year PPA.

The Portuguese government has revealed it has approved another six ""unbsubsidized"" large-scale solar projects with a combined capacity of 229 MW to be located in Portugal's southern regions of Alentejo and Algarve.

Four of the projects with a total capacity of 132 MW were proposed by Malta-based independent asset management firm Hyperion Energy Investment Fund SICAV P.L.C. Two of the facilities would be located in the municipalities of Ferreira do Alentejo and Lagos, respectively, while another two plants are planned to be installed in Moura. The largest plant would have a capacity of 49 MW and would be built by Goldiport Solar in Lagos. A sixth 48 MW solar power plant, proposed by Goldnalco, would be deployed in Viçosa, Alcoutim.

The projects' aggregate investment, the government specified, would amount to around €206 million. More details on the projects were not provided."
2018-01-13,28260.525,,
2018-01-14,27196.425,,
2018-01-15,29372.425,IRENA and ADFD to fund $25m PV projects in Mauritius and Rwanda,"The International Renewable Energy Agency (IRENA) and the Abu Dhabi Fund for Development (ADFD) have announced that two solar PV projects - one located in Mauritius and the other in Rwanda - will be receiving $25 million in concessional loans from ADFD, one in Mauritius and one in Rwanda.

Both of these solar PV projects were announced at the Session of the IRENA Assembly, which pv magazine reported on earlier today. The two selected nations - Mauritius and Rwanda - are the beneficiaries of the fifth funding cycle and the projects are being financed through the IRENA/ADFD Project Facility.

The seven-cycle funding facility was set up in 2013, and makes $350 million gradually available through concessional loans from ADFD to help people in developing countries have access to electricity. It is estimated that the project has the potential to improve the lives of 2.5 million people, alleviating poverty through affordable energy to low income communities.

Half the funding required for the project is being covered by these loans, with the rest coming from additional funding sources."
2018-01-15,29372.425,"Germany's IBC, SolarWorld announce separate solar developments in Turkey","While the German EPC contractor has installed a 4.2 MW rooftop solar PV plant, the manufacturer has agreed to supply 60 MW of modules to the Turkish market.

German EPC and PV product distributor, IBC Solar has installed one of the largest commercial rooftop PV systems in Turkey.

The 4.24 MW system is located in Mersin and has now been handed over to the agricultural company, Tiryaki Agro Company, the company said. IBC Solar was awarded the contract to build the facility through a bidding process.

Large rooftop projects are becoming increasingly important in Turkey, driven by rising electricity prices and the opportunities for self-consumption ..."
2018-01-15,29372.425,Hevel energizes another 10 MW solar facility in Russia,"The Volgograd Solar Power Plant will sell electricity to Russia's Wholesale Electricity and Capacity Market.

Russian solar module maker and PV project developer, Hevel Solar, a joint venture between Russian industrial conglomerate, Renova Group and nanotechnologies provider, JSC Rusnano, has grid connected its 10 MW Volgograd Solar Power Plant, which was built near the city of Volgograd, in the southwest of Russia.

The project was selected under Russia's ..."
2018-01-16,27834.749999999993,Seasonal patterns show a need for more solar in the U.S. electricity mix,"An abundance of hydroelectric power and wind is pushing up renewable energy in the spring months, but there is a need for more power during the summer peak, as well as issues with the geographic location of resources.

Germany has been a global leader in many aspects of the transition to renewable energy, including both deployment policies and strategies for grid integration. One aspect of the nation's Energiewende (Energy Turn or Transition) that is often underestimated is the deployment of complementary volumes of wind and solar, so that the overall amount of renewable energy has been relatively stable on a seasonal basis for many years - although the dismantling of policy support for solar may have pushed the balance in the direction of excess wind in 2017.

By contrast, the United States is seeing more of an unplanned, free-market transition to renewables, driven by a combination of tax policies, largely resource-agnostic renewable energy mandates, and raw economics. And as an analysis from the U.S. Department of Energy's Energy Information Administration (EIA) shows, this led to a seasonal imbalance in the aggregate output of renewable energy sources in 2017.

2017 saw particularly high levels of hydro output, due to a very wet winter in Western States. This peaked during the late Spring with the nation's hydroelectric dams generating more than 30 terawatt-hours (TWh) in May alone, and falling to around half that level by October.

However, wind also displayed a seasonal pattern, with a national aggregate output of around 25 TWh each month in March and April, falling to only 15 TWh in August. By contrast solar peaked in June at around 6 TWh. The net result was that total U.S. renewable output peaked in March, April and May and fell to its lowest level during August.

Therefore, as opposed to shipping between 230 and 250 megawatts ..."
2018-01-16,27834.749999999993,"Masdar, EDF sign MOU to develop sub-Saharan Africa's off-grid sector","A Memorandum of Understanding (MOU) has been signed by Masdar, the Abu Dhabi Future Energy Company, and EDF SA, the parent company of the EDF Group, to develop off-grid projects in sub-Saharan African countries.

Bader al Lamki, Masdar's executive director for clean energy signed the agreement alongside Valerie Levkov, senior vice president Africa and Middle East for EDF SA, at the International Renewable Energy Agency's (IRENA's) 8th annual assembly, currently taking place in Abu Dhabi.

The agreement will foster development opportunities within the framework of both companies' existing off-grid investments in sub-Saharan Africa. New solutions to bring electricity to the region will be evaluated, offering designs for off-grid projects and models to address power issues in the region.

Access to electricity in sub-Saharan Africa is limited, with the World Bank estimating that around 600 million people ..."
2018-01-16,27834.749999999993,EDF energizes 115 MW solar park in Chile,"The Santiago solar plant, located near the country's capital city, Santiago, will sell its output to local power distributors and to the spot market.

EDF Energie Nouvelles, the renewable energy arm of French power utility EDF, has connected to Chile's power system (Sistema Electrico Nacional - SEN) a 115 MW solar facility near Santiago, in central Chile.

The Santiago Solar project, the company said, is located in the country's region with the highest consumption of electricity. The facility ..."
